x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
64.238059,54.361429,Europe,Russian Federation,1/8/2018,39.3,8.7,31,0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133,1
50.029927,53.22743,Europe,Russian Federation,30/07/2018,71.2,6.2,31,0.1,44.6,-15.4,-12.3,-9.2,2.1,18.07,151,1,470.3342472,0.01592319,1
50.641825,53.109637,Europe,Russian Federation,30/07/2018,70.7,6.4,31,0.2,43.1,-15.8,-12.6,-9.4,2,17.7,147,2,197.8194671,0.004234842,1
49.269036,53.152559,Europe,Russian Federation,26/07/2018,71.9,6.2,31,0.1,45.1,-15,-11.9,-8.8,2.2,18.77,151,2,0,0.001142567,1
62.977607,54.567477,Europe,Russian Federation,26/07/2018,39.2,8.7,31,0,5.2,-22.2,-17.8,-13.5,1.4,3.38,156,2,136.7594908,0.000595602,1
17.69,-17.67,Africa,Namibia,25/07/2018,67.5,13.2,0,4.1,139,19.2,25.8,32.4,19.6,13.3,183,3,615.0518471,0,1
15.45,-17.71,Africa,Namibia,25/07/2018,67.5,12.5,0,4.3,108,18,24.2,30.5,16.5,9.5,181,3,2229.486428,0,1
17.21,-17.56,Africa,Namibia,25/07/2018,67.5,13.3,0,4.2,129,19.3,25.9,32.6,18.9,12.7,184,3,917.7234228,0,1
16.02,-17.95,Africa,Namibia,25/07/2018,67.5,13.1,0,4.3,112,19.1,25.6,32.2,17.8,11.2,182,3,2046.742155,0,1
15.95,-17.48,Africa,Namibia,25/07/2018,70,13.1,0,4.3,104,18.6,25.1,31.7,16.3,9.7,182,3,2020.265911,0,1
16.28,-17.51,Africa,Namibia,25/07/2018,67.5,13.1,0,4.3,112,19.1,25.6,32.2,17.8,11.2,182,3,2046.742155,0,1
15.87,-17.48,Africa,Namibia,25/07/2018,70,13.1,0,4.3,104,18.6,25.1,31.7,16.3,9.7,182,3,2020.265911,0,1
16.37,-18.17,Africa,Namibia,25/07/2018,66.3,13.3,0,4.4,108,19.2,25.8,32.5,17.8,12,183,3,1855.0008,0,1
20.18,-17.89,Africa,Namibia,25/07/2018,67.5,11.9,0,3.8,167.2,18.5,24.4,30.4,22.1,15.24,183,3,118.4295612,0,1
